# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
siff jump lunge	accessory	bodyweight	LUNGE/SIFF_JUMP_LUNGE LUNGE/WEIGHTED_SIFF_JUMP_LUNGE
single arm reverse lunge and press	single_leg	dumbbell	LUNGE/SINGLE_ARM_REVERSE_LUNGE_AND_PRESS
sliding lateral lunge	single_leg	bodyweight	LUNGE/SLIDING_LATERAL_LUNGE LUNGE/WEIGHTED_SLIDING_LATERAL_LUNGE
walking barbell lunge	single_leg	barbell	LUNGE/WALKING_BARBELL_LUNGE	Barbell_Walking_Lunge
walking dumbbell lunge	single_leg	dumbbell	LUNGE/WALKING_DUMBBELL_LUNGE
walking lunge	single_leg	bodyweight	LUNGE/WALKING_LUNGE LUNGE/WEIGHTED_WALKING_LUNGE	Bodyweight_Walking_Lunge
weighted curtsy lunge	single_leg	bodyweight	LUNGE/WEIGHTED_CURTSY_LUNGE
weighted shifting side lunge	single_leg	bodyweight	LUNGE/WEIGHTED_SHIFTING_SIDE_LUNGE
weighted side lunge and press	single_leg	bodyweight	LUNGE/WEIGHTED_SIDE_LUNGE_AND_PRESS
weighted side lunge jump off	accessory	bodyweight	LUNGE/WEIGHTED_SIDE_LUNGE_JUMP_OFF
